frame,source,multiplier,emission_strength,light_energy
34,open_neon:MAT_OpenNeon_N_film,0.953165,5.147091,14.297475
35,open_neon:MAT_OpenNeon_N_film,0.942519,5.089603,14.137785
36,open_neon:MAT_OpenNeon_N_film,0.982707,5.306618,14.740605
37,open_neon:MAT_OpenNeon_N_film,0.980140,5.292756,14.702100
38,open_neon:MAT_OpenNeon_N_film,0.920745,4.972023,13.811175
39,open_neon:MAT_OpenNeon_N_film,0.744253,4.018966,11.163795
40,open_neon:MAT_OpenNeon_N_film,0.932630,5.036202,13.989450
41,open_neon:MAT_OpenNeon_N_film,0.968912,5.232125,14.533680
42,open_neon:MAT_OpenNeon_N_film,0.979041,5.286821,14.685615
43,open_neon:MAT_OpenNeon_N_film,0.979167,5.287502,14.687505
44,open_neon:MAT_OpenNeon_N_film,0.979227,5.287826,14.688405
45,open_neon:MAT_OpenNeon_N_film,0.973159,5.255059,14.597385
46,open_neon:MAT_OpenNeon_N_film,0.948887,5.123990,14.233305
47,open_neon:MAT_OpenNeon_N_film,0.946133,5.109118,14.191995
48,open_neon:MAT_OpenNeon_N_film,0.933365,5.040171,14.000475
49,open_neon:MAT_OpenNeon_N_film,0.925992,5.000357,13.889880
50,open_neon:MAT_OpenNeon_N_film,0.981636,5.300834,14.724540
51,open_neon:MAT_OpenNeon_N_film,0.962845,5.199363,14.442675
52,open_neon:MAT_OpenNeon_N_film,0.989164,5.341486,14.837460
53,open_neon:MAT_OpenNeon_N_film,0.923335,4.986009,13.850025
54,open_neon:MAT_OpenNeon_N_film,0.977348,5.277679,14.660220
55,open_neon:MAT_OpenNeon_N_film,0.933356,5.040122,14.000340
56,open_neon:MAT_OpenNeon_N_film,0.969918,5.237557,14.548770
57,open_neon:MAT_OpenNeon_N_film,0.987648,5.333299,14.814720
58,open_neon:MAT_OpenNeon_N_film,0.984273,5.315074,14.764095
59,open_neon:MAT_OpenNeon_N_film,0.977617,5.279132,14.664255
60,open_neon:MAT_OpenNeon_N_film,0.955819,5.161423,14.337285
61,open_neon:MAT_OpenNeon_N_film,0.985908,5.323903,14.788620
62,open_neon:MAT_OpenNeon_N_film,0.977185,5.276799,14.657775
63,open_neon:MAT_OpenNeon_N_film,0.945195,5.104053,14.177925
64,open_neon:MAT_OpenNeon_N_film,0.984525,5.316435,14.767875
65,open_neon:MAT_OpenNeon_N_film,0.939647,5.074094,14.094705
66,open_neon:MAT_OpenNeon_N_film,0.960297,5.185604,14.404455
67,open_neon:MAT_OpenNeon_N_film,0.977916,5.280746,14.668740
68,open_neon:MAT_OpenNeon_N_film,0.934343,5.045452,14.015145
69,open_neon:MAT_OpenNeon_N_film,0.965073,5.211394,14.476095
70,open_neon:MAT_OpenNeon_N_film,0.977127,5.276486,14.656905
71,open_neon:MAT_OpenNeon_N_film,0.938790,5.069466,14.081850
72,open_neon:MAT_OpenNeon_N_film,0.943876,5.096930,14.158140
73,open_neon:MAT_OpenNeon_N_film,0.920216,4.969166,13.803240
74,open_neon:MAT_OpenNeon_N_film,0.968690,5.230926,14.530350
75,open_neon:MAT_OpenNeon_N_film,0.938861,5.069849,14.082915
76,open_neon:MAT_OpenNeon_N_film,0.978509,5.283949,14.677635
77,open_neon:MAT_OpenNeon_N_film,0.962983,5.200108,14.444745
78,open_neon:MAT_OpenNeon_N_film,0.978737,5.285180,14.681055
79,open_neon:MAT_OpenNeon_N_film,0.941334,5.083204,14.120010
80,open_neon:MAT_OpenNeon_N_film,0.952620,5.144148,14.289300
81,open_neon:MAT_OpenNeon_N_film,0.979296,5.288198,14.689440
82,open_neon:MAT_OpenNeon_N_film,0.933188,5.039215,13.997820
83,open_neon:MAT_OpenNeon_N_film,0.985144,5.319778,14.777160
84,open_neon:MAT_OpenNeon_N_film,0.957099,5.168335,14.356485
85,open_neon:MAT_OpenNeon_N_film,0.960180,5.184972,14.402700
86,open_neon:MAT_OpenNeon_N_film,0.941637,5.084840,14.124555
87,open_neon:MAT_OpenNeon_N_film,0.925135,4.995729,13.877025
88,open_neon:MAT_OpenNeon_N_film,0.959632,5.182013,14.394480
89,open_neon:MAT_OpenNeon_N_film,0.922395,4.980933,13.835925
90,open_neon:MAT_OpenNeon_N_film,0.927564,5.008846,13.913460
91,open_neon:MAT_OpenNeon_N_film,0.981986,5.302724,14.729790
92,open_neon:MAT_OpenNeon_N_film,0.973421,5.256473,14.601315
93,open_neon:MAT_OpenNeon_N_film,0.986289,5.325961,14.794335
94,open_neon:MAT_OpenNeon_N_film,0.943153,5.093026,14.147295
95,open_neon:MAT_OpenNeon_N_film,0.966977,5.221676,14.504655
96,open_neon:MAT_OpenNeon_N_film,0.942441,5.089181,14.136615
97,open_neon:MAT_OpenNeon_N_film,0.956611,5.165699,14.349165
98,open_neon:MAT_OpenNeon_N_film,0.942991,5.092151,14.144865
99,open_neon:MAT_OpenNeon_N_film,0.977046,5.276048,14.655690
100,open_neon:MAT_OpenNeon_N_film,0.925102,4.995551,13.876530
101,open_neon:MAT_OpenNeon_N_film,0.939734,5.074564,14.096010
102,open_neon:MAT_OpenNeon_N_film,0.939002,5.070611,14.085030
103,open_neon:MAT_OpenNeon_N_film,0.674230,3.640842,10.113450
104,open_neon:MAT_OpenNeon_N_film,0.934321,5.045333,14.014815
105,open_neon:MAT_OpenNeon_N_film,0.979845,5.291163,14.697675
106,open_neon:MAT_OpenNeon_N_film,0.984083,5.314048,14.761245
107,open_neon:MAT_OpenNeon_N_film,0.944684,5.101294,14.170260
108,open_neon:MAT_OpenNeon_N_film,0.953545,5.149143,14.303175
109,open_neon:MAT_OpenNeon_N_film,0.933940,5.043276,14.009100
110,open_neon:MAT_OpenNeon_N_film,0.961399,5.191555,14.420985
111,open_neon:MAT_OpenNeon_N_film,0.932847,5.037374,13.992705
112,open_neon:MAT_OpenNeon_N_film,0.933375,5.040225,14.000625
113,open_neon:MAT_OpenNeon_N_film,0.945750,5.107050,14.186250
114,open_neon:MAT_OpenNeon_N_film,0.937349,5.061685,14.060235
115,open_neon:MAT_OpenNeon_N_film,0.934802,5.047931,14.022030
116,open_neon:MAT_OpenNeon_N_film,0.935602,5.052251,14.034030
117,open_neon:MAT_OpenNeon_N_film,0.972407,5.250998,14.586105
118,open_neon:MAT_OpenNeon_N_film,0.986724,5.328310,14.800860
119,open_neon:MAT_OpenNeon_N_film,0.922136,4.979534,13.832040
120,open_neon:MAT_OpenNeon_N_film,0.968174,5.228140,14.522610
121,open_neon:MAT_OpenNeon_N_film,0.964710,5.209434,14.470650
122,open_neon:MAT_OpenNeon_N_film,0.973089,5.254681,14.596335
123,open_neon:MAT_OpenNeon_N_film,0.943150,5.093010,14.147250
124,open_neon:MAT_OpenNeon_N_film,0.973785,5.258439,14.606775
125,open_neon:MAT_OpenNeon_N_film,0.979962,5.291795,14.699430
126,open_neon:MAT_OpenNeon_N_film,0.977525,5.278635,14.662875
127,open_neon:MAT_OpenNeon_N_film,0.921673,4.977034,13.825095
128,open_neon:MAT_OpenNeon_N_film,0.934806,5.047952,14.022090
129,open_neon:MAT_OpenNeon_N_film,0.964185,5.206599,14.462775
130,open_neon:MAT_OpenNeon_N_film,0.964182,5.206583,14.462730
131,open_neon:MAT_OpenNeon_N_film,0.940907,5.080898,14.113605
132,open_neon:MAT_OpenNeon_N_film,0.944346,5.099468,14.165190
133,open_neon:MAT_OpenNeon_N_film,0.979627,5.289986,14.694405
134,open_neon:MAT_OpenNeon_N_film,0.952455,5.143257,14.286825
135,open_neon:MAT_OpenNeon_N_film,0.929085,5.017059,13.936275
136,open_neon:MAT_OpenNeon_N_film,0.954154,5.152432,14.312310
137,open_neon:MAT_OpenNeon_N_film,0.989089,5.341081,14.836335
138,open_neon:MAT_OpenNeon_N_film,0.975789,5.269261,14.636835
139,open_neon:MAT_OpenNeon_N_film,0.973383,5.256268,14.600745
140,open_neon:MAT_OpenNeon_N_film,0.926755,5.004477,13.901325
141,open_neon:MAT_OpenNeon_N_film,0.978001,5.281205,14.670015
142,open_neon:MAT_OpenNeon_N_film,0.946168,5.109307,14.192520
143,open_neon:MAT_OpenNeon_N_film,0.976516,5.273186,14.647740
144,open_neon:MAT_OpenNeon_N_film,0.923900,4.989060,13.858500
145,open_neon:MAT_OpenNeon_N_film,0.988341,5.337041,14.825115
146,open_neon:MAT_OpenNeon_N_film,0.980596,5.295218,14.708940
147,open_neon:MAT_OpenNeon_N_film,0.989285,5.342139,14.839275
148,open_neon:MAT_OpenNeon_N_film,0.923080,4.984632,13.846200
149,open_neon:MAT_OpenNeon_N_film,0.982968,5.308027,14.744520
150,open_neon:MAT_OpenNeon_N_film,0.934132,5.044313,14.011980
151,open_neon:MAT_OpenNeon_N_film,0.922944,4.983898,13.844160
152,open_neon:MAT_OpenNeon_N_film,0.926189,5.001421,13.892835
153,open_neon:MAT_OpenNeon_N_film,0.985070,5.319378,14.776050
154,open_neon:MAT_OpenNeon_N_film,0.964183,5.206588,14.462745
155,open_neon:MAT_OpenNeon_N_film,0.982552,5.305781,14.738280
156,open_neon:MAT_OpenNeon_N_film,0.931203,5.028496,13.968045
157,open_neon:MAT_OpenNeon_N_film,0.975022,5.265119,14.625330
158,open_neon:MAT_OpenNeon_N_film,0.962385,5.196879,14.435775
159,open_neon:MAT_OpenNeon_N_film,0.927373,5.007814,13.910595
160,open_neon:MAT_OpenNeon_N_film,0.933536,5.041094,14.003040
161,open_neon:MAT_OpenNeon_N_film,0.982617,5.306132,14.739255
162,open_neon:MAT_OpenNeon_N_film,0.985890,5.323806,14.788350
163,open_neon:MAT_OpenNeon_N_film,0.978617,5.284532,14.679255
164,open_neon:MAT_OpenNeon_N_film,0.943628,5.095591,14.154420
165,open_neon:MAT_OpenNeon_N_film,0.937680,5.063472,14.065200
166,open_neon:MAT_OpenNeon_N_film,0.937739,5.063791,14.066085
167,open_neon:MAT_OpenNeon_N_film,0.936335,5.056209,14.045025
168,open_neon:MAT_OpenNeon_N_film,0.962523,5.197624,14.437845
169,open_neon:MAT_OpenNeon_N_film,0.987732,5.333753,14.815980
170,open_neon:MAT_OpenNeon_N_film,0.939531,5.073467,14.092965
171,open_neon:MAT_OpenNeon_N_film,0.954333,5.153398,14.314995
172,open_neon:MAT_OpenNeon_N_film,0.946698,5.112169,14.200470
173,open_neon:MAT_OpenNeon_N_film,0.988212,5.336345,14.823180
174,open_neon:MAT_OpenNeon_N_film,0.920252,4.969361,13.803780
175,open_neon:MAT_OpenNeon_N_film,0.985637,5.322440,14.784555
176,open_neon:MAT_OpenNeon_N_film,0.981193,5.298442,14.717895
177,open_neon:MAT_OpenNeon_N_film,0.977879,5.280547,14.668185
178,open_neon:MAT_OpenNeon_N_film,0.931751,5.031455,13.976265
179,open_neon:MAT_OpenNeon_N_film,0.925893,4.999822,13.888395
180,open_neon:MAT_OpenNeon_N_film,0.924905,4.994487,13.873575
181,open_neon:MAT_OpenNeon_N_film,0.983041,5.308421,14.745615
182,open_neon:MAT_OpenNeon_N_film,0.950695,5.133753,14.260425
183,open_neon:MAT_OpenNeon_N_film,0.985038,5.319205,14.775570
184,open_neon:MAT_OpenNeon_N_film,0.922299,4.980415,13.834485
185,open_neon:MAT_OpenNeon_N_film,0.986003,5.324416,14.790045
186,open_neon:MAT_OpenNeon_N_film,0.921901,4.978265,13.828515
187,open_neon:MAT_OpenNeon_N_film,0.923052,4.984481,13.845780
188,open_neon:MAT_OpenNeon_N_film,0.961316,5.191106,14.419740
189,open_neon:MAT_OpenNeon_N_film,0.940714,5.079856,14.110710
190,open_neon:MAT_OpenNeon_N_film,0.985760,5.323104,14.786400
191,open_neon:MAT_OpenNeon_N_film,0.973757,5.258288,14.606355
192,open_neon:MAT_OpenNeon_N_film,0.963877,5.204936,14.458155
193,open_neon:MAT_OpenNeon_N_film,0.944637,5.101040,14.169555
194,open_neon:MAT_OpenNeon_N_film,0.960434,5.186344,14.406510
195,open_neon:MAT_OpenNeon_N_film,0.974923,5.264584,14.623845
196,open_neon:MAT_OpenNeon_N_film,0.950364,5.131966,14.255460
197,open_neon:MAT_OpenNeon_N_film,0.977164,5.276686,14.657460
198,open_neon:MAT_OpenNeon_N_film,0.923274,4.985680,13.849110
199,open_neon:MAT_OpenNeon_N_film,0.661390,3.571506,9.920850
200,open_neon:MAT_OpenNeon_N_film,0.920990,4.973346,13.814850
201,open_neon:MAT_OpenNeon_N_film,0.985959,5.324179,14.789385
202,open_neon:MAT_OpenNeon_N_film,0.986531,5.327267,14.797965
203,open_neon:MAT_OpenNeon_N_film,0.968058,5.227513,14.520870
204,open_neon:MAT_OpenNeon_N_film,0.987925,5.334795,14.818875
205,open_neon:MAT_OpenNeon_N_film,0.986063,5.324740,14.790945
206,open_neon:MAT_OpenNeon_N_film,0.974650,5.263110,14.619750
207,open_neon:MAT_OpenNeon_N_film,0.948851,5.123795,14.232765
208,open_neon:MAT_OpenNeon_N_film,0.985787,5.323250,14.786805
209,open_neon:MAT_OpenNeon_N_film,0.934224,5.044810,14.013360
210,open_neon:MAT_OpenNeon_N_film,0.732336,3.954614,10.985040
211,open_neon:MAT_OpenNeon_N_film,0.984062,5.313935,14.760930
212,open_neon:MAT_OpenNeon_N_film,0.980943,5.297092,14.714145
213,open_neon:MAT_OpenNeon_N_film,0.972584,5.251954,14.588760
214,open_neon:MAT_OpenNeon_N_film,0.974194,5.260648,14.612910
215,open_neon:MAT_OpenNeon_N_film,0.957550,5.170770,14.363250
216,open_neon:MAT_OpenNeon_N_film,0.973015,5.254281,14.595225
217,open_neon:MAT_OpenNeon_N_film,0.958427,5.175506,14.376405
218,open_neon:MAT_OpenNeon_N_film,0.932976,5.038070,13.994640
219,open_neon:MAT_OpenNeon_N_film,0.956265,5.163831,14.343975
220,open_neon:MAT_OpenNeon_N_film,0.938554,5.068192,14.078310
221,open_neon:MAT_OpenNeon_N_film,0.965468,5.213527,14.482020
222,open_neon:MAT_OpenNeon_N_film,0.977887,5.280590,14.668305
223,open_neon:MAT_OpenNeon_N_film,0.958403,5.175376,14.376045
224,open_neon:MAT_OpenNeon_N_film,0.934650,5.047110,14.019750
225,open_neon:MAT_OpenNeon_N_film,0.985032,5.319173,14.775480
226,open_neon:MAT_OpenNeon_N_film,0.987331,5.331587,14.809965
227,open_neon:MAT_OpenNeon_N_film,0.976537,5.273300,14.648055
228,open_neon:MAT_OpenNeon_N_film,0.926171,5.001323,13.892565
229,open_neon:MAT_OpenNeon_N_film,0.969215,5.233761,14.538225
230,open_neon:MAT_OpenNeon_N_film,0.953870,5.150898,14.308050
231,open_neon:MAT_OpenNeon_N_film,0.975253,5.266366,14.628795
232,open_neon:MAT_OpenNeon_N_film,0.940669,5.079613,14.110035
233,open_neon:MAT_OpenNeon_N_film,0.984479,5.316187,14.767185
234,open_neon:MAT_OpenNeon_N_film,0.955016,5.157086,14.325240
235,open_neon:MAT_OpenNeon_N_film,0.961762,5.193515,14.426430
236,open_neon:MAT_OpenNeon_N_film,0.941145,5.082183,14.117175
237,open_neon:MAT_OpenNeon_N_film,0.928386,5.013284,13.925790
238,open_neon:MAT_OpenNeon_N_film,0.965732,5.214953,14.485980
239,open_neon:MAT_OpenNeon_N_film,0.946567,5.111462,14.198505
240,open_neon:MAT_OpenNeon_N_film,0.954839,5.156131,14.322585
241,open_neon:MAT_OpenNeon_N_film,0.988248,5.336539,14.823720
242,open_neon:MAT_OpenNeon_N_film,0.978508,5.283943,14.677620
243,open_neon:MAT_OpenNeon_N_film,0.980098,5.292529,14.701470
244,open_neon:MAT_OpenNeon_N_film,0.950711,5.133839,14.260665
245,open_neon:MAT_OpenNeon_N_film,0.958499,5.175895,14.377485
246,open_neon:MAT_OpenNeon_N_film,0.934879,5.048347,14.023185
247,open_neon:MAT_OpenNeon_N_film,0.981680,5.301072,14.725200
248,open_neon:MAT_OpenNeon_N_film,0.934000,5.043600,14.010000
249,open_neon:MAT_OpenNeon_N_film,0.974545,5.262543,14.618175
250,open_neon:MAT_OpenNeon_N_film,0.691390,3.733506,10.370850
251,open_neon:MAT_OpenNeon_N_film,0.980159,5.292859,14.702385
252,open_neon:MAT_OpenNeon_N_film,0.952189,5.141821,14.282835
253,open_neon:MAT_OpenNeon_N_film,0.974780,5.263812,14.621700
254,open_neon:MAT_OpenNeon_N_film,0.976067,5.270762,14.641005
255,open_neon:MAT_OpenNeon_N_film,0.977264,5.277226,14.658960
256,open_neon:MAT_OpenNeon_N_film,0.954171,5.152523,14.312565
257,open_neon:MAT_OpenNeon_N_film,0.967965,5.227011,14.519475
258,open_neon:MAT_OpenNeon_N_film,0.931668,5.031007,13.975020
259,open_neon:MAT_OpenNeon_N_film,0.923925,4.989195,13.858875
260,open_neon:MAT_OpenNeon_N_film,0.982319,5.304523,14.734785
261,open_neon:MAT_OpenNeon_N_film,0.954468,5.154127,14.317020
262,open_neon:MAT_OpenNeon_N_film,0.937551,5.062775,14.063265
263,open_neon:MAT_OpenNeon_N_film,0.976620,5.273748,14.649300
264,open_neon:MAT_OpenNeon_N_film,0.968877,5.231936,14.533155
265,open_neon:MAT_OpenNeon_N_film,0.927637,5.009240,13.914555
266,open_neon:MAT_OpenNeon_N_film,0.987694,5.333548,14.815410
267,open_neon:MAT_OpenNeon_N_film,0.972338,5.250625,14.585070
268,open_neon:MAT_OpenNeon_N_film,0.978523,5.284024,14.677845
269,open_neon:MAT_OpenNeon_N_film,0.973018,5.254297,14.595270
270,open_neon:MAT_OpenNeon_N_film,0.973976,5.259470,14.609640
271,open_neon:MAT_OpenNeon_N_film,0.964083,5.206048,14.461245
272,open_neon:MAT_OpenNeon_N_film,0.985815,5.323401,14.787225
273,open_neon:MAT_OpenNeon_N_film,0.968363,5.229160,14.525445
274,open_neon:MAT_OpenNeon_N_film,0.965557,5.214008,14.483355
275,open_neon:MAT_OpenNeon_N_film,0.930007,5.022038,13.950105
276,open_neon:MAT_OpenNeon_N_film,0.953846,5.150768,14.307690
277,open_neon:MAT_OpenNeon_N_film,0.983252,5.309561,14.748780
278,open_neon:MAT_OpenNeon_N_film,0.938731,5.069147,14.080965
279,open_neon:MAT_OpenNeon_N_film,0.963210,5.201334,14.448150
280,open_neon:MAT_OpenNeon_N_film,0.983413,5.310430,14.751195
281,open_neon:MAT_OpenNeon_N_film,0.983015,5.308281,14.745225
282,open_neon:MAT_OpenNeon_N_film,0.943753,5.096266,14.156295
283,open_neon:MAT_OpenNeon_N_film,0.927202,5.006891,13.908030
284,open_neon:MAT_OpenNeon_N_film,0.959853,5.183206,14.397795
285,open_neon:MAT_OpenNeon_N_film,0.925502,4.997711,13.882530
286,open_neon:MAT_OpenNeon_N_film,0.923348,4.986079,13.850220
287,open_neon:MAT_OpenNeon_N_film,0.969065,5.232951,14.535975
288,open_neon:MAT_OpenNeon_N_film,0.955031,5.157167,14.325465
289,open_neon:MAT_OpenNeon_N_film,0.956202,5.163491,14.343030
290,open_neon:MAT_OpenNeon_N_film,0.942283,5.088328,14.134245
291,open_neon:MAT_OpenNeon_N_film,0.963693,5.203942,14.455395
292,open_neon:MAT_OpenNeon_N_film,0.928366,5.013176,13.925490
293,open_neon:MAT_OpenNeon_N_film,0.960603,5.187256,14.409045
294,open_neon:MAT_OpenNeon_N_film,0.972382,5.250863,14.585730
295,open_neon:MAT_OpenNeon_N_film,0.926710,5.004234,13.900650
296,open_neon:MAT_OpenNeon_N_film,0.951882,5.140163,14.278230
297,open_neon:MAT_OpenNeon_N_film,0.948935,5.124249,14.234025
298,open_neon:MAT_OpenNeon_N_film,0.964650,5.209110,14.469750
299,open_neon:MAT_OpenNeon_N_film,0.978532,5.284073,14.677980
300,open_neon:MAT_OpenNeon_N_film,0.954526,5.154440,14.317890
301,open_neon:MAT_OpenNeon_N_film,0.929876,5.021330,13.948140
302,open_neon:MAT_OpenNeon_N_film,0.936612,5.057705,14.049180
303,open_neon:MAT_OpenNeon_N_film,0.978325,5.282955,14.674875
304,open_neon:MAT_OpenNeon_N_film,0.963305,5.201847,14.449575
305,open_neon:MAT_OpenNeon_N_film,0.948120,5.119848,14.221800
306,open_neon:MAT_OpenNeon_N_film,0.938011,5.065259,14.070165
307,open_neon:MAT_OpenNeon_N_film,0.972124,5.249470,14.581860
308,open_neon:MAT_OpenNeon_N_film,0.982784,5.307034,14.741760
309,open_neon:MAT_OpenNeon_N_film,0.943863,5.096860,14.157945
310,open_neon:MAT_OpenNeon_N_film,0.985450,5.321430,14.781750
311,open_neon:MAT_OpenNeon_N_film,0.988681,5.338877,14.830215
312,open_neon:MAT_OpenNeon_N_film,0.973513,5.256970,14.602695
313,open_neon:MAT_OpenNeon_N_film,0.974215,5.260761,14.613225
314,open_neon:MAT_OpenNeon_N_film,0.960678,5.187661,14.410170
315,open_neon:MAT_OpenNeon_N_film,0.921336,4.975214,13.820040
316,open_neon:MAT_OpenNeon_N_film,0.934643,5.047072,14.019645
317,open_neon:MAT_OpenNeon_N_film,0.954886,5.156384,14.323290
318,open_neon:MAT_OpenNeon_N_film,0.975370,5.266998,14.630550
319,open_neon:MAT_OpenNeon_N_film,0.958509,5.175949,14.377635
320,open_neon:MAT_OpenNeon_N_film,0.963558,5.203213,14.453370
321,open_neon:MAT_OpenNeon_N_film,0.936450,5.056830,14.046750
322,open_neon:MAT_OpenNeon_N_film,0.973546,5.257148,14.603190
323,open_neon:MAT_OpenNeon_N_film,0.953288,5.147755,14.299320
324,open_neon:MAT_OpenNeon_N_film,0.979325,5.288355,14.689875
325,open_neon:MAT_OpenNeon_N_film,0.928909,5.016109,13.933635
326,open_neon:MAT_OpenNeon_N_film,0.976195,5.271453,14.642925
327,open_neon:MAT_OpenNeon_N_film,0.931854,5.032012,13.977810
328,open_neon:MAT_OpenNeon_N_film,0.978767,5.285342,14.681505
329,open_neon:MAT_OpenNeon_N_film,0.792077,4.277216,11.881155
330,open_neon:MAT_OpenNeon_N_film,0.984627,5.316986,14.769405
331,open_neon:MAT_OpenNeon_N_film,0.947922,5.118779,14.218830
332,open_neon:MAT_OpenNeon_N_film,0.979171,5.287523,14.687565
333,open_neon:MAT_OpenNeon_N_film,0.986390,5.326506,14.795850
334,open_neon:MAT_OpenNeon_N_film,0.766355,4.138317,11.495325
335,open_neon:MAT_OpenNeon_N_film,0.741618,4.004737,11.124270
336,open_neon:MAT_OpenNeon_N_film,0.975072,5.265389,14.626080
337,open_neon:MAT_OpenNeon_N_film,0.981106,5.297972,14.716590
338,open_neon:MAT_OpenNeon_N_film,0.951656,5.138942,14.274840
339,open_neon:MAT_OpenNeon_N_film,0.984591,5.316791,14.768865
340,open_neon:MAT_OpenNeon_N_film,0.951893,5.140222,14.278395
341,open_neon:MAT_OpenNeon_N_film,0.980707,5.295818,14.710605
342,open_neon:MAT_OpenNeon_N_film,0.969576,5.235710,14.543640
343,open_neon:MAT_OpenNeon_N_film,0.985329,5.320777,14.779935
344,open_neon:MAT_OpenNeon_N_film,0.976206,5.271512,14.643090
345,open_neon:MAT_OpenNeon_N_film,0.987234,5.331064,14.808510
346,open_neon:MAT_OpenNeon_N_film,0.715043,3.861232,10.725645
347,open_neon:MAT_OpenNeon_N_film,0.976629,5.273797,14.649435
348,open_neon:MAT_OpenNeon_N_film,0.977392,5.277917,14.660880
349,open_neon:MAT_OpenNeon_N_film,0.935600,5.052240,14.034000
350,open_neon:MAT_OpenNeon_N_film,0.968637,5.230640,14.529555
351,open_neon:MAT_OpenNeon_N_film,0.959170,5.179518,14.387550
352,open_neon:MAT_OpenNeon_N_film,0.956727,5.166326,14.350905
353,open_neon:MAT_OpenNeon_N_film,0.933932,5.043233,14.008980
354,open_neon:MAT_OpenNeon_N_film,0.978661,5.284769,14.679915
355,open_neon:MAT_OpenNeon_N_film,0.979976,5.291870,14.699640
356,open_neon:MAT_OpenNeon_N_film,0.980032,5.292173,14.700480
357,open_neon:MAT_OpenNeon_N_film,0.931238,5.028685,13.968570
358,open_neon:MAT_OpenNeon_N_film,0.961303,5.191036,14.419545
359,open_neon:MAT_OpenNeon_N_film,0.937464,5.062306,14.061960
360,open_neon:MAT_OpenNeon_N_film,0.945141,5.103761,14.177115
361,open_neon:MAT_OpenNeon_N_film,0.976204,5.271502,14.643060
362,open_neon:MAT_OpenNeon_N_film,0.946392,5.110517,14.195880
363,open_neon:MAT_OpenNeon_N_film,0.934878,5.048341,14.023170
364,open_neon:MAT_OpenNeon_N_film,0.931205,5.028507,13.968075
365,open_neon:MAT_OpenNeon_N_film,0.952249,5.142145,14.283735
366,open_neon:MAT_OpenNeon_N_film,0.929194,5.017648,13.937910
367,open_neon:MAT_OpenNeon_N_film,0.982864,5.307466,14.742960
368,open_neon:MAT_OpenNeon_N_film,0.924368,4.991587,13.865520
369,open_neon:MAT_OpenNeon_N_film,0.932291,5.034371,13.984365
370,open_neon:MAT_OpenNeon_N_film,0.981811,5.301779,14.727165
371,open_neon:MAT_OpenNeon_N_film,0.967964,5.227006,14.519460
372,open_neon:MAT_OpenNeon_N_film,0.966462,5.218895,14.496930
373,open_neon:MAT_OpenNeon_N_film,0.985903,5.323876,14.788545
374,open_neon:MAT_OpenNeon_N_film,0.965473,5.213554,14.482095
375,open_neon:MAT_OpenNeon_N_film,0.955726,5.160920,14.335890
376,open_neon:MAT_OpenNeon_N_film,0.985928,5.324011,14.788920
